45.345:34.500	55	Crimea
54.710:20.452	1	Kaliningrad Oblast
45.036:38.975	90	Krasnodar Krai
55.340:38.292	44	Moscow Region
58.823:56.587	16	Perm Krai
59.931:30.361	62	Saint Petersburg
57.122:35.040	2	Tver Region
53.979:47.776	3	Ulyanovsk Oblast
43.113:131.885	12	Vladivostok
50.450:30.523	44	Kiev Region
46.485:30.733	19	Odessa Region
43.799:28.536	6	Limanu
42.417:27.696	6	Sozopol
43.214:27.915	6	Varna
36.890:30.527	12	Antalya Coast
37.812:28.486	1	Aydin
37.043:27.428	299	Bodrum
41.265:28.112	6	Marmara
37.184:28.486	664	Mugla
37.984:23.728	1314	Athens
40.428:23.485	59	Chalkidiki
38.368:26.131	2	Chios
39.571:20.764	39	Epirus
38.729:20.648	658	Lefkada
39.210:20.158	29	Paxos
37.508:22.373	26	Peloponnese
37.929:23.513	14	Salamis
37.756:26.976	1	Samos
37.778:20.780	26	Zakynthos
43.319:16.646	24	Brač
42.714:18.033	218	Dubrovnik
43.967:15.091	1	Dugi Otok
43.152:16.694	21	Hvar
42.930:16.889	22	Korčula
45.028:14.575	216	Krk
43.804:15.610	243	Murter
44.467:14.992	13	Pag
43.742:15.906	823	Sibenik
44.093:15.147	20	Ugljan
42.424:14.059	6	Abruzzo
42.780:10.290	42	Elba
46.226:13.103	3	Friuli-Venezia Giulia
44.552:9.047	80	Liguria
40.902:14.333	54	Naples
40.758:14.015	67	Procida
42.961:13.875	3	Riviera delle Palme
40.196:9.024	460	Sardinia
37.626:13.708	429	Sicily
45.762:11.691	60	Veneto
43.243:2.405	114	Canal du Midi
45.752:0.153	22	Charente
42.113:9.134	133	Corsica
43.219:6.319	348	French Riviera
43.945:4.151	20	Gard
43.591:3.258	149	Hérault
44.519:1.958	46	Lot
45.709:0.627	84	Nouvelle-Aquitaine
43.893:3.283	69	Occitanie
45.904:-0.309	27	Poitou-Charentes
37.142:-4.596	42	Andalusia
42.276:3.018	211	Costa Brava
40.895:0.772	46	Costa Daurada
27.920:-15.547	28	Gran Canaria
28.103:-17.219	1	La Gomera
29.047:-13.590	15	Lanzarote
39.590:2.941	457	Mallorca
39.950:4.110	112	Menorca
37.992:-1.131	7	Murcia
28.294:-16.516	64	Tenerife
37.018:-7.931	31	Algarve
38.322:-7.418	15	Alqueva Lake
37.778:-25.519	20	Azores
41.689:-8.817	9	Costa Verde
38.722:-9.139	47	Lisbon
32.758:-16.957	1	Madeira
33.084:-16.322	1	Porto Santo
51.145:5.848	17	Maasplassen
51.054:3.146	36	West Flanders
52.370:4.895	39	Amsterdam
52.528:5.595	45	Flevoland
53.164:5.782	205	Friesland
52.045:5.872	5	Gelderland
51.483:5.232	1	North Brabant
52.521:4.788	43	North Holland
52.091:5.121	36	Utrecht
51.494:3.850	16	Zeeland
52.131:13.216	194	Brandenburg
53.847:12.056	102	Mecklenburg
54.352:13.363	82	Rügen
54.219:9.696	137	Schleswig-Holstein
55.160:14.867	1	Bornholm
56.302:9.303	10	Midtjylland
55.331:9.092	1	Syddanmark
55.015:9.749	1	Sønderjylland
55.463:11.721	2	Zealand
60.391:5.322	1	Bergen
60.273:5.722	1	Hordaland
68.199:13.490	7	Lofoten
59.914:10.752	6	Oslo
59.149:6.014	3	Rogaland
77.554:23.670	2	Svalbard and Jan Mayen
69.818:18.782	6	Troms
63.542:10.937	1	Trøndelag
57.710:11.972	24	Gothenburg
59.329:18.069	51	Stockholm
58.453:13.267	5	Västergötland
58.345:15.520	7	Östergötland
52.948:22.614	402	Masuria
54.519:18.531	27	Pomerania
50.057:22.090	3	Subcarpathian
53.466:15.182	2	West Pomerania
59.437:24.754	10	Tallinn
60.170:24.938	6	Helsinki
61.261:28.210	8	Saimaa
60.363:22.444	11	South West Finland
60.394:22.200	2	Turku Archipelago